"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"07-Feb-2023","EQ","731.80","734.95","722.00","729.75","727.40","728.20","727.86","861.15","650.20","1,244,247","905,640,526.15","43,971"
"06-Feb-2023","EQ","728.40","732.50","721.00","726.60","730.00","729.75","728.11","861.15","650.20","852,170","620,470,746.95","33,527"
"03-Feb-2023","EQ","737.15","741.00","720.45","737.15","725.00","726.60","727.19","861.15","650.20","1,752,697","1,274,540,219.35","77,624"
"02-Feb-2023","EQ","738.80","742.75","732.80","740.80","737.00","737.15","737.67","861.15","650.20","704,702","519,836,142.80","35,827"
"01-Feb-2023","EQ","737.25","748.40","731.25","729.50","739.10","740.80","740.45","861.15","650.20","933,031","690,865,795.25","40,464"
"31-Jan-2023","EQ","736.00","739.40","725.05","735.65","730.00","729.50","729.70","861.15","650.20","2,189,899","1,597,965,164.60","112,108"
"30-Jan-2023","EQ","736.00","740.35","727.55","735.25","736.55","735.65","735.21","861.15","650.20","1,295,677","952,589,693.05","55,649"
"27-Jan-2023","EQ","740.05","745.90","725.70","740.05","736.00","735.25","734.18","861.15","650.20","772,860","567,421,026.35","40,748"
"25-Jan-2023","EQ","740.35","742.50","731.20","740.90","739.00","740.05","735.66","861.15","650.20","868,627","639,017,851.85","36,222"
"24-Jan-2023","EQ","743.85","749.50","740.00","742.45","740.55","740.90","743.57","861.15","650.20","653,737","486,097,075.55","37,249"
"23-Jan-2023","EQ","739.15","743.90","734.00","738.45","742.10","742.45","739.61","861.15","650.20","682,160","504,531,384.35","30,232"
"20-Jan-2023","EQ","738.00","742.90","736.00","738.50","738.50","738.45","739.42","861.15","650.20","878,832","649,829,572.10","32,499"
"19-Jan-2023","EQ","750.20","752.75","737.60","750.50","738.00","738.50","742.14","861.15","650.20","1,140,422","846,348,362.90","51,424"
"18-Jan-2023","EQ","750.00","752.70","746.55","750.05","751.00","750.50","750.19","861.15","650.20","747,592","560,839,315.35","29,485"
"17-Jan-2023","EQ","744.00","752.80","741.60","747.25","751.00","750.05","746.82","861.15","650.20","1,427,736","1,066,261,920.45","59,113"
"16-Jan-2023","EQ","752.10","755.00","745.10","752.90","747.40","747.25","747.96","861.15","650.20","838,829","627,407,201.20","30,903"
"13-Jan-2023","EQ","755.10","757.60","750.00","754.25","752.80","752.90","753.46","861.15","650.20","1,067,599","804,398,251.25","31,013"
"12-Jan-2023","EQ","760.00","763.85","752.00","759.30","754.00","754.25","755.37","861.15","650.20","763,021","576,361,319.00","35,974"
"11-Jan-2023","EQ","772.00","772.75","755.50","769.25","758.95","759.30","761.85","861.15","650.20","688,374","524,435,652.65","36,401"
"10-Jan-2023","EQ","766.95","772.80","764.55","766.95","769.40","769.25","768.74","861.15","650.20","873,061","671,156,224.70","31,979"
"09-Jan-2023","EQ","765.20","768.80","761.10","761.35","767.50","766.95","765.02","861.15","650.20","729,173","557,831,834.70","40,496"
"06-Jan-2023","EQ","763.80","770.85","759.05","763.85","762.05","761.35","764.53","861.15","650.20","603,050","461,050,439.05","27,177"
"05-Jan-2023","EQ","762.00","781.00","760.10","762.25","764.00","763.85","767.85","861.15","650.20","3,198,519","2,455,983,504.45","65,444"
"04-Jan-2023","EQ","767.50","767.50","759.40","767.15","761.65","762.25","762.70","861.15","650.20","1,004,383","766,038,896.10","41,952"
"03-Jan-2023","EQ","765.00","767.90","759.10","762.30","767.60","767.15","764.17","861.15","650.20","785,495","600,251,188.60","32,161"
"02-Jan-2023","EQ","769.90","771.00","758.10","766.95","762.00","762.30","762.62","861.15","650.20","1,061,086","809,208,747.60","40,877"
"30-Dec-2022","EQ","778.00","782.30","765.00","776.10","772.00","766.95","771.88","861.15","650.20","715,796","552,506,235.30","30,964"
"29-Dec-2022","EQ","779.00","779.00","763.10","780.15","776.05","776.10","769.32","861.15","650.20","1,691,955","1,301,654,896.95","49,574"
"28-Dec-2022","EQ","778.00","782.90","773.15","777.85","780.00","780.15","778.89","861.15","650.20","610,240","475,309,723.85","24,574"
"27-Dec-2022","EQ","778.80","781.00","770.60","775.30","777.70","777.85","775.42","861.15","650.20","601,101","466,104,451.10","28,453"
"26-Dec-2022","EQ","779.00","783.70","773.00","779.00","775.75","775.30","776.27","861.15","650.20","1,014,226","787,314,187.05","43,288"
"23-Dec-2022","EQ","793.05","797.90","775.80","798.65","780.15","779.00","784.37","861.15","650.20","1,216,647","954,295,402.45","51,177"
"22-Dec-2022","EQ","802.75","809.00","787.00","802.60","797.15","798.65","796.64","861.15","650.20","1,017,965","810,949,218.50","31,667"
"21-Dec-2022","EQ","809.00","811.90","801.00","808.30","802.60","802.60","806.27","861.15","650.20","811,513","654,302,487.90","30,312"
"20-Dec-2022","EQ","808.50","809.95","800.10","808.85","807.70","808.30","804.75","861.15","650.20","677,159","544,946,893.05","21,725"
"19-Dec-2022","EQ","801.15","810.00","798.45","801.55","807.05","808.85","804.69","861.15","650.20","1,120,217","901,431,575.30","38,718"
"16-Dec-2022","EQ","803.30","804.95","795.00","804.90","802.55","801.55","801.22","861.15","650.20","849,333","680,501,342.05","29,839"
"15-Dec-2022","EQ","815.40","815.45","802.05","815.45","803.00","804.90","806.90","861.15","650.20","783,051","631,845,876.55","32,265"
